data,valor
15/08/2016,3.1672
16/08/2016,3.1749
17/08/2016,3.2248
18/08/2016,3.2215
19/08/2016,3.2267
22/08/2016,3.2163
23/08/2016,3.2054
24/08/2016,3.2372
25/08/2016,3.2319
26/08/2016,3.2153
29/08/2016,3.2613
30/08/2016,3.2525
31/08/2016,3.2403
01/09/2016,3.2472
02/09/2016,3.2431
05/09/2016,3.2721
06/09/2016,3.2452
08/09/2016,3.1934
09/09/2016,3.2638
12/09/2016,3.2854
13/09/2016,3.2972
14/09/2016,3.3262
15/09/2016,3.3326
16/09/2016,3.3004
19/09/2016,3.2636
20/09/2016,3.254
21/09/2016,3.2408
22/09/2016,3.2015
23/09/2016,3.2242
26/09/2016,3.24
27/09/2016,3.2358
28/09/2016,3.2476
29/09/2016,3.2235
30/09/2016,3.2462
03/10/2016,3.2338
04/10/2016,3.2203
05/10/2016,3.2359
06/10/2016,3.231
07/10/2016,3.2134
10/10/2016,3.2125
11/10/2016,3.2136
13/10/2016,3.2087
14/10/2016,3.1864
17/10/2016,3.1963
18/10/2016,3.1874
19/10/2016,3.18
20/10/2016,3.1605
21/10/2016,3.1593
24/10/2016,3.1311
25/10/2016,3.1193
26/10/2016,3.1219
27/10/2016,3.1429
28/10/2016,3.1815
31/10/2016,3.1811
01/11/2016,3.2053
03/11/2016,3.231
04/11/2016,3.2449
07/11/2016,3.2024
08/11/2016,3.2024
09/11/2016,3.2258
10/11/2016,3.3104
11/11/2016,3.4377
14/11/2016,3.4446
16/11/2016,3.4183
17/11/2016,3.4052
18/11/2016,3.3917
21/11/2016,3.3517
22/11/2016,3.3476
23/11/2016,3.3927
24/11/2016,3.3987
25/11/2016,3.4279
28/11/2016,3.3996
29/11/2016,3.406
30/11/2016,3.3967
01/12/2016,3.4362
02/12/2016,3.465
05/12/2016,3.4598
06/12/2016,3.4354
07/12/2016,3.3895
08/12/2016,3.4008
09/12/2016,3.3858
12/12/2016,3.3697
13/12/2016,3.334
14/12/2016,3.3103
15/12/2016,3.383
16/12/2016,3.3712
19/12/2016,3.3778
20/12/2016,3.3586
21/12/2016,3.3297
22/12/2016,3.3302
23/12/2016,3.2696
26/12/2016,3.2701
27/12/2016,3.2776
28/12/2016,3.2774
29/12/2016,3.2591
30/12/2016,3.2591
02/01/2017,3.2729
03/01/2017,3.2632
04/01/2017,3.2333
05/01/2017,3.2129
06/01/2017,3.2057
09/01/2017,3.2097
10/01/2017,3.1918
