data,valor
01/08/2016,0.44
01/09/2016,0.08
01/10/2016,0.26
01/11/2016,0.18
01/12/2016,0.3
01/01/2017,0.38
01/02/2017,0.33
01/03/2017,0.25
01/04/2017,0.14
01/05/2017,0.31
01/06/2017,-0.23
01/07/2017,0.24
01/08/2017,0.19
01/09/2017,0.16
01/10/2017,0.42
01/11/2017,0.28
01/12/2017,0.44
01/01/2018,0.29
01/02/2018,0.32
01/03/2018,0.09
01/04/2018,0.22
01/05/2018,0.4
01/06/2018,1.26
01/07/2018,0.33
01/08/2018,-0.09
01/09/2018,0.48
01/10/2018,0.45
01/11/2018,-0.21
01/12/2018,0.15
01/01/2019,0.32
01/02/2019,0.43
01/03/2019,0.75
01/04/2019,0.57
01/05/2019,0.13
01/06/2019,0.01
01/07/2019,0.19
01/08/2019,0.11
01/09/2019,-0.04
01/10/2019,0.1
01/11/2019,0.51
01/12/2019,1.15
01/01/2020,0.21
01/02/2020,0.25
01/03/2020,0.07
01/04/2020,-0.31
01/05/2020,-0.38
01/06/2020,0.26
01/07/2020,0.36
01/08/2020,0.24
01/09/2020,0.64
01/10/2020,0.86
01/11/2020,0.89
01/12/2020,1.35
01/01/2021,0.25
01/02/2021,0.86
01/03/2021,0.93
01/04/2021,0.31
01/05/2021,0.83
01/06/2021,0.53
01/07/2021,0.96
01/08/2021,0.87
01/09/2021,1.16
01/10/2021,1.25
01/11/2021,0.95
01/12/2021,0.73
01/01/2022,0.54
01/02/2022,1.01
01/03/2022,1.62
01/04/2022,1.06
01/05/2022,0.47
01/06/2022,0.67
01/07/2022,-0.68
01/08/2022,-0.36
01/09/2022,-0.29
01/10/2022,0.59
01/11/2022,0.41
01/12/2022,0.62
01/01/2023,0.53
01/02/2023,0.84
01/03/2023,0.71
01/04/2023,0.61
01/05/2023,0.23
01/06/2023,-0.08
01/07/2023,0.12
01/08/2023,0.23
01/09/2023,0.26
01/10/2023,0.24
01/11/2023,0.28
01/12/2023,0.56
01/01/2024,0.42
01/02/2024,0.83
01/03/2024,0.16
01/04/2024,0.38
01/05/2024,0.46
01/06/2024,0.21
01/07/2024,0.38
01/08/2024,-0.02
01/09/2024,0.44
01/10/2024,0.56
01/11/2024,0.39
01/12/2024,0.52
01/01/2025,0.16
01/02/2025,1.31
01/03/2025,0.56
01/04/2025,0.43
01/05/2025,0.26
01/06/2025,0.24
01/07/2025,0.26
01/08/2025,-0.11
01/09/2025,0.48
01/10/2025,0.09
01/11/2025,0.18
01/12/2025,0.33
01/01/2026,0.33
01/02/2026,0.7
01/03/2026,0.88
01/04/2026,0.67
01/05/2026,0.58
01/06/2026,0.16
01/07/2026,0.07
